Id,Label,timeset,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber,eigencentrality,clustering,triangles
141335,141335,,486,2541083,2,0.906355,0.948339,50.091271,0.046447,0.046447,3,0,0.963836,0.908099,107024
178882,178882,,321,2008,3,0.705729,0.794588,0.616782,0.031793,0.031793,22,0,0.659318,0.995931,51151
178866,178866,,403,285110,2,0.795888,0.871771,27.227131,0.038919,0.038919,3,0,0.807501,0.926102,75017
141458,141458,,387,1207145,2,0.777618,0.857011,4.782889,0.038256,0.038256,3,0,0.793418,0.979248,73141
141459,141459,,454,4095185,2,0.860317,0.918819,14.913166,0.044426,0.044426,21,0,0.921504,0.954177,98119
141464,141464,,376,1911767,3,0.764457,0.846556,25.735721,0.036102,0.036102,3,0,0.749284,0.936539,66026
204484,204484,,487,5113830,2,0.907873,0.949262,25.644451,0.047194,0.047194,22,0,0.979069,0.931689,110257
141467,141467,,0,0,0,0,0,0,0,0,7,7,0,0,0
141470,141470,,475,2524947,3,0.888525,0.937884,59.741624,0.045397,0.045397,3,0,0.942054,0.908825,102311
81055,81055,,444,3227589,3,0.845554,0.909287,48.199433,0.042568,0.042568,3,0,0.883361,0.917709,90253
73904,73904,,11,11,3,0.490054,0.5,0,0.000147,0.000147,14,0,0.00329,1,55
204558,204558,,479,3445048,2,0.895868,0.941882,56.063884,0.045698,0.045698,3,0,0.948345,0.905984,103718
73891,73891,,452,4099166,2,0.857595,0.916974,27.965593,0.043773,0.043773,21,0,0.908084,0.932579,95054
178886,178886,,501,4441601,2,0.929674,0.962177,44.127567,0.047902,0.047902,3,0,0.993957,0.906874,113586
204487,204487,,490,4875541,2,0.912458,0.95203,27.479152,0.047392,0.047392,3,0,0.983218,0.927958,111174
178831,178831,,430,1704546,2,0.828746,0.896679,9.077986,0.042309,0.042309,22,0,0.877519,0.96922,89396
141488,141488,,421,1818809,2,0.817496,0.888376,47.193081,0.040161,0.040161,3,0,0.833554,0.916276,81008
178888,178888,,5,14,3,0.486099,0.493542,0,0.000211,0.000211,22,0,0.004455,1,10
156190,156190,,493,6857165,2,0.91709,0.954797,29.61007,0.047596,0.047596,21,0,0.987462,0.924504,112122
204489,204489,,499,4513521,2,0.926496,0.960332,59.666694,0.047579,0.047579,3,0,0.987314,0.902721,112164
73588,73588,,5,5,1,1,1,0,0,0,16,8,0.000114,1,10
92346,92346,,474,3145089,2,0.888525,0.937269,36.082364,0.045612,0.045612,3,0,0.946414,0.919376,103063
204573,204573,,482,1248169,2,0.900332,0.944649,34.574424,0.046473,0.046473,3,0,0.964198,0.922611,106950
193726,193726,,497,5989304,2,0.923339,0.958487,40.57391,0.047661,0.047661,21,0,0.988924,0.912337,112451
204559,204559,,425,1835907,2,0.822458,0.892066,41.330043,0.040644,0.040644,3,0,0.84356,0.919933,82886
122466,122466,,0,0,0,0,0,0,0,0,8,9,0,0,0
141508,141508,,497,3911544,2,0.923339,0.958487,59.804678,0.047397,0.047397,3,0,0.983545,0.903064,111308
147653,147653,,0,0,0,0,0,0,0,0,9,10,0,0,0
141513,141513,,490,4318379,2,0.912458,0.95203,27.952146,0.04738,0.04738,22,0,0.982976,0.927541,111124
204539,204539,,489,5817436,2,0.910924,0.951107,26.274486,0.047341,0.047341,21,0,0.982153,0.929775,110937
141516,141516,,463,774651,2,0.872786,0.927122,28.951328,0.044797,0.044797,22,0,0.929395,0.930512,99521
152610,152610,,487,6142846,2,0.907873,0.949262,25.644451,0.047194,0.047194,21,0,0.979069,0.931689,110257
